week,Aeropuertos y vuelos,Ley y crimen,La pandemia del COVID-19 y su impacto,La industria petrolera,Economía,Tren Maya,Salud y medicina,Reformas políticas,Fronteras e inmigración,Energía y minería,COVID-19 y su vacunación,Problemas sociales y justicia penal,Deportes y turismo,Relaciones políticas entre México y Perú
2021-01-18,0.025423156,0.024857344,0.061178472,0.05775169,0.112127684,0.067103736,0.022150593,0.08081341,0.03230994,0.029027382,0.4000641,0.034754984,0.030176086,0.022261411
2021-02-08,0.037581187,0.027942471,0.07009896,0.06909076,0.079388656,0.047460474,0.036711294,0.08111455,0.026103636,0.03188575,0.40560275,0.020631569,0.044035226,0.022352751
2021-02-15,0.048169628,0.027256824,0.06272007,0.10139165,0.07564582,0.045808554,0.035486087,0.0941127,0.021754637,0.05505965,0.35721496,0.028339347,0.03299498,0.0140451
2021-02-22,0.042249847,0.035237946,0.056038536,0.08469557,0.07321016,0.065725185,0.0202721,0.098818384,0.01821402,0.044320133,0.35319358,0.03677513,0.0429872,0.02826219
2021-03-01,0.034330983,0.025959553,0.050162025,0.103784375,0.07579704,0.054153137,0.020437025,0.12843198,0.030633593,0.039544508,0.3229056,0.047747612,0.048861504,0.017251035
2021-03-08,0.029716292,0.04143398,0.07334586,0.07042084,0.10309112,0.0578055,0.04801012,0.09292376,0.018472703,0.03602121,0.30446202,0.0532692,0.042605236,0.028422141
2021-03-15,0.019216878,0.02271586,0.04219157,0.09120667,0.055552192,0.05467572,0.018142654,0.162299,0.02685284,0.041306812,0.34522822,0.04541115,0.057873275,0.01732717
2021-03-22,0.035365403,0.052568395,0.060074214,0.06975328,0.059487183,0.07892621,0.022046002,0.10896248,0.031879243,0.059880797,0.30262232,0.051714856,0.037425686,0.029293936
2021-03-29,0.02875487,0.0675481,0.062413294,0.09816396,0.08036893,0.047124434,0.030997531,0.08831968,0.043248706,0.049128715,0.3076928,0.026334679,0.052975416,0.01692888
2021-04-05,0.021979105,0.022115028,0.08129575,0.15310383,0.06689044,0.039920263,0.027295768,0.09074783,0.022743328,0.035327595,0.330494,0.052333467,0.04010742,0.01564618
2021-04-12,0.030882627,0.024591248,0.07969218,0.08804349,0.08763835,0.05217979,0.020830555,0.10661808,0.033454277,0.041967526,0.31241667,0.0432281,0.0670612,0.011395916
2021-04-19,0.03786182,0.029636187,0.0508439,0.08707146,0.0718049,0.06132271,0.03040351,0.1746023,0.034507625,0.028873818,0.25000182,0.066342115,0.052580263,0.024147535
2021-04-26,0.038404364,0.043777075,0.053510737,0.07646699,0.05576565,0.05534158,0.017263884,0.1207321,0.021528205,0.026194325,0.3688439,0.034601454,0.06645929,0.021110425
2021-05-03,0.027995257,0.022587946,0.057085708,0.07619234,0.07202924,0.08034178,0.02624052,0.11272786,0.048591558,0.048628334,0.32607844,0.028903069,0.033822052,0.038775843
2021-05-10,0.021580735,0.02827655,0.0663074,0.07550853,0.085816205,0.040200315,0.02107987,0.1401869,0.027676055,0.033284258,0.3245968,0.03819049,0.07135994,0.025935983
2021-05-17,0.026350433,0.020563813,0.08483106,0.1030769,0.06718531,0.053257756,0.024525518,0.10100053,0.01658848,0.082072906,0.2850439,0.039721,0.08073202,0.015050401
2021-05-24,0.02708003,0.028195156,0.06407427,0.11782156,0.059930287,0.057804637,0.04766882,0.10892919,0.021800525,0.021733243,0.3411965,0.033080302,0.053614233,0.017071206
